feature,weight
buka jalak,0.4877393642703275
berubah,0.48704467514161515
main gelora,0.48698211790951235
pojok,0.4866723833944388
putus,0.4859152331626998
visualnya memanjakan,0.484923492417314
and,0.48418507931801097
zany,0.483967389098828
zany face,0.483967389098828
tongue zany,0.483967389098828
tipis,0.48330803545709433
best,0.48265498821989805
cuan gede,0.48136663911727773
suit,0.48058832887087394
heart suit,0.48058832887087394
doa,0.4770895238014368
epic,0.4764965998440328
vibes,0.475375635798304
minimal,0.4749020873355746
siapa sih,0.4737313121975972
puncak,0.47354182519522553
popularitas,0.47354182519522553
pengalaman bermain,0.47242276551861956
nomor satu,0.4719444220730977
party,0.47144466656282125
face face,0.47120114551408354
sepanjang,0.47105771147849773
jutaan party,0.4704639213017353
kayak berkah,0.46944429144428296
recommended,0.4693126514806522
soal,0.46834529408472786
siap,0.46776501436736756
saran aja,0.467631385242755
cair,0.46736961706634583
ketik google,0.46702797338225877
google whale,0.46702797338225877
junior whale,0.46702797338225877
ketik,0.46702797338225877
whale junior,0.46702797338225877
thank you,0.4663009849398918
thank,0.4663009849398918
ngakakkk,0.4661463090523321
idola,0.4653864661888232
spin,0.4641784341860168
kemaren cobain,0.4635177327570306
st place,0.46235064721177027
place medal,0.46235064721177027
st,0.46235064721177027
ribu,0.4618303892533644
glowing,0.461447265479371
glowing star,0.461447265479371
jurnal,0.4609829139806455
mulus,0.45907449598720207
dp,0.4584269212923353
sukak,0.45721309387937936
duet,0.4569245407874064
awal,0.4562459998675741
situss,0.4553765509180822
aku sukaa,0.4553765509180822
sukaa,0.4553765509180822
situss paling,0.4553765509180822
paling aku,0.4553765509180822
janji,0.4551522956367106
pstoto ga,0.4545934758802762
pelit,0.4526645111235158
money mouth,0.45256957830802585
bem gem,0.45244300222779404
stone bem,0.45244300222779404
bagaimana,0.45235661891394285
frimawan,0.45229988017926404
gak ngerti,0.45220896041626024
prediksi,0.45008269954724217
semoga berkah,0.449733647484998
manfaatkan,0.4493270879798338
keberhasilan,0.44489680320008534
tiket green,0.44347891437359505
nyoba,0.44157123614610294
rasa,0.4406943884833737
terbaik dah,0.44067229840531486
temen,0.4393528311480316
mouth face,0.4392495755306154
nyobain,0.4380115969312646
nomplok hari,0.43781171300647764
with meridians,0.4375909649583806
globe with,0.4375909649583806
meridians,0.4375909649583806
the best,0.437168254181826
menguntungkan,0.4349926936472044
relatable,0.4349743198290785
kosong,0.434520423730037
marah marah,0.43411503707933785
sahabat,0.43398929121817287
pstoto gak,0.4326085996271898
laughing bbca,0.431963055736072
winking,0.43185838825863665
winking face,0.43185838825863665
dsini,0.4314261815919437
jajan,0.43093168367514617
bener bener,0.43026349706455824
pantes,0.4300824049655746
jp,0.4289873447205947
tiket,0.42726655164898586
bermain dora,0.42641059958656297
nomplok,0.42492606290372154
rezeki nomplok,0.42492606290372154
levis,0.42480165366423445
mantap awal,0.4247074848371302
berhasil,0.4246956305661541
pagi,0.4246036983724592
berkesan,0.42458433621036323
hanya vikingtoto,0.4232830858480329
vikingtoto,0.4232830858480329
link gacor,0.4232830858480329
pushpin link,0.4232830858480329
